Code,RawLabel,ProcLabel
GC13,Rostock,"Rostock, German Democratic Republic"
GC14,Schwerin,"Schwerin, German Democratic Republic"
GC15,Suhl,"Suhl, German Democratic Republic"
GE00,"GERMANY, FEDERAL REPUBLIC OF",Federal Republic Of Germany
GE01,Baden-Wurttemberg,"Baden-Wurttemberg, Federal Republic Of Germany"
GE02,Bayern,"Bayern, Federal Republic Of Germany"
GE03,Bremen,"Bremen, Federal Republic Of Germany"
GE04,Hamburg,"Hamburg, Federal Republic Of Germany"
GE05,Hessen,"Hessen, Federal Republic Of Germany"
GE06,Niedersachsen,"Niedersachsen, Federal Republic Of Germany"
GE07,Nordrhein-Westfalen,"Nordrhein-Westfalen, Federal Republic Of Germany"
GE08,Rheinland-Pfalz,"Rheinland-Pfalz, Federal Republic Of Germany"
GE09,Saarland,"Saarland, Federal Republic Of Germany"
GE10,Schleswig-Holstein,"Schleswig-Holstein, Federal Republic Of Germany"
GG00,GEORGIA,Georgia
GG01,Abashis Raioni,"Abashis Raioni, Georgia"
GG02,Abkhazia,"Abkhazia, Georgia"
GG03,Adigenis Raioni,"Adigenis Raioni, Georgia"
GG04,Ajaria,"Ajaria, Georgia"
GG05,Akhalgoris Raioni,"Akhalgoris Raioni, Georgia"
GG06,Akhalk'alak'is Raioni,"Akhalkalakis Raioni, Georgia"
GG07,Akhalts'ikhis Raioni,"Akhaltsikhis Raioni, Georgia"
GG08,Akhmetis Raioni,"Akhmetis Raioni, Georgia"
GG09,Ambrolauris Raioni,"Ambrolauris Raioni, Georgia"
GG10,Aspindzis Raioni,"Aspindzis Raioni, Georgia"
GG11,Baghdat'is Raioni,"Baghdatis Raioni, Georgia"
GG12,Bolnisis Raioni,"Bolnisis Raioni, Georgia"
GG13,Borjomis Raioni,"Borjomis Raioni, Georgia"
GG14,Chiat'ura,"Chiatura, Georgia"
GG15,Ch'khorotsqus Raioni,"Chkhorotsqus Raioni, Georgia"
GG16,Ch'okhatauris Raioni,"Chokhatauris Raioni, Georgia"
GG17,Dedop'listsqaros Raioni,"Dedoplistsqaros Raioni, Georgia"
GG18,Dmanisis Raioni,"Dmanisis Raioni, Georgia"
GG19,Dushet'is Raioni,"Dushetis Raioni, Georgia"
GG20,Gardabanis Raioni,"Gardabanis Raioni, Georgia"
GG21,Gori,"Gori, Georgia"
GG22,Goris Raioni,"Goris Raioni, Georgia"
GG23,Gurjaanis Raioni,"Gurjaanis Raioni, Georgia"
GG24,Javis Raioni,"Javis Raioni, Georgia"
GG25,K'arelis Raioni,"Karelis Raioni, Georgia"
GG26,Kaspis Raioni,"Kaspis Raioni, Georgia"
GG27,Kharagaulis Raioni,"Kharagaulis Raioni, Georgia"
GG28,Khashuris Raioni,"Khashuris Raioni, Georgia"
GG29,Khobis Raioni,"Khobis Raioni, Georgia"
GG30,Khonis Raioni,"Khonis Raioni, Georgia"
GG31,K'ut'aisi,"Kutaisi, Georgia"
GG32,Lagodekhis Raioni,"Lagodekhis Raioni, Georgia"
GG33,Lanch'khut'is Raioni,"Lanchkhutis Raioni, Georgia"
GG34,Lentekhis Raioni,"Lentekhis Raioni, Georgia"
GG35,Marneulis Raioni,"Marneulis Raioni, Georgia"
GG36,Martvilis Raioni,"Martvilis Raioni, Georgia"
GG37,Mestiis Raioni,"Mestiis Raioni, Georgia"
GG38,Mts'khet'is Raioni,"Mtskhetis Raioni, Georgia"
GG39,Ninotsmindis Raioni,"Ninotsmindis Raioni, Georgia"
GG40,Onis Raioni,"Onis Raioni, Georgia"
GG41,Ozurget'is Raioni,"Ozurgetis Raioni, Georgia"
GG42,P'ot'i,"Poti, Georgia"
GG43,Qazbegis Raioni,"Qazbegis Raioni, Georgia"
GG44,Qvarlis Raioni,"Qvarlis Raioni, Georgia"
GG45,Rust'avi,"Rustavi, Georgia"
GG46,Sach'kheris Raioni,"Sachkheris Raioni, Georgia"
GG47,Sagarejos Raioni,"Sagarejos Raioni, Georgia"
GG48,Samtrediis Raioni,"Samtrediis Raioni, Georgia"
GG49,Senakis Raioni,"Senakis Raioni, Georgia"
GG50,Sighnaghis Raioni,"Sighnaghis Raioni, Georgia"
GG51,T'bilisi,"Tbilisi, Georgia"
GG52,T'elavis Raioni,"Telavis Raioni, Georgia"
GG53,T'erjolis Raioni,"Terjolis Raioni, Georgia"
GG54,T'et'ritsqaros Raioni,"Tetritsqaros Raioni, Georgia"
GG55,T'ianet'is Raioni,"Tianetis Raioni, Georgia"
GG56,Tqibuli,"Tqibuli, Georgia"
GG57,Ts'ageris Raioni,"Tsageris Raioni, Georgia"
GG58,Tsalenjikhis Raioni,"Tsalenjikhis Raioni, Georgia"
GG59,Tsalkis Raioni,"Tsalkis Raioni, Georgia"
GG60,Tsqaltubo,"Tsqaltubo, Georgia"
GG61,Vanis Raioni,"Vanis Raioni, Georgia"
GG62,Zestap'onis Raioni,"Zestaponis Raioni, Georgia"
GG63,Zugdidi,"Zugdidi, Georgia"
GG64,Zugdidis Raioni,"Zugdidis Raioni, Georgia"
GG65,Guriis Mkhare,"Guriis Mkhare, Georgia"
GG66,Imeretis Mkhare,"Imeretis Mkhare, Georgia"
GG67,Kakhetis Mkhare,"Kakhetis Mkhare, Georgia"
GG68,Kvemo Kartlis Mkhare,"Kvemo Kartlis Mkhare, Georgia"
GG69,Mtskheta-Mtianetis Mkhare,"Mtskheta-Mtianetis Mkhare, Georgia"
GG70,Racha-Lechkhumi and Kvemo Svaneti,"Racha-Lechkhumi And Kvemo Svaneti, Georgia"
GG71,Samegrelo and Zemo Svaneti,"Samegrelo And Zemo Svaneti, Georgia"
GG72,Samtskhe-Javakhetis Mkhare,"Samtskhe-Javakhetis Mkhare, Georgia"
GG73,Shida Kartlis Mkhare,"Shida Kartlis Mkhare, Georgia"
GH00,GHANA,Ghana
GH01,Greater Accra,"Greater Accra, Ghana"
GH02,Ashanti,"Ashanti, Ghana"
GH03,Brong-Ahafo,"Brong-Ahafo, Ghana"
GH04,Central,"Central, Ghana"
GH05,Eastern,"Eastern, Ghana"
GH06,Northern,"Northern, Ghana"
GH08,Volta,"Volta, Ghana"
GH09,Western,"Western, Ghana"
GH10,Upper East,"Upper East, Ghana"
GH11,Upper West,"Upper West, Ghana"
GI00,GIBRALTAR,Gibraltar
GJ00,GRENADA,Grenada
GJ01,Saint Andrew,"Saint Andrew, Grenada"
GJ02,Saint David,"Saint David, Grenada"
GJ03,Saint George,"Saint George, Grenada"
GJ04,Saint John,"Saint John, Grenada"
GJ05,Saint Mark,"Saint Mark, Grenada"
GJ06,Saint Patrick,"Saint Patrick, Grenada"
GK00,GUERNSEY,Guernsey
GL00,GREENLAND,Greenland
GL01,Nordgronland,"Nordgronland, Greenland"
GL02,Ostgronland,"Ostgronland, Greenland"
GL03,Vestgronland,"Vestgronland, Greenland"
GL04,Kommune Kujalleq,"Kommune Kujalleq, Greenland"
GL05,Qaasuitsup Kommunia,"Qaasuitsup Kommunia, Greenland"
GL06,Qeqqata Kommunia,"Qeqqata Kommunia, Greenland"
GL07,Kommuneqarfik Sermersooq,"Kommuneqarfik Sermersooq, Greenland"
GM00,GERMANY,Germany
GM01,Baden-Wurttemberg,"Baden-Wurttemberg, Germany"
GM02,Bayern,"Bayern, Germany"
GM03,Bremen,"Bremen, Germany"
GM04,Hamburg,"Hamburg, Germany"
GM05,Hessen,"Hessen, Germany"
GM06,Niedersachsen,"Niedersachsen, Germany"
GM07,Nordrhein-Westfalen,"Nordrhein-Westfalen, Germany"
GM08,Rheinland-Pfalz,"Rheinland-Pfalz, Germany"
GM09,Saarland,"Saarland, Germany"
GM10,Schleswig-Holstein,"Schleswig-Holstein, Germany"
GM11,Brandenburg,"Brandenburg, Germany"
GM12,Mecklenburg-Vorpommern,"Mecklenburg-Vorpommern, Germany"
GM13,Sachsen,"Sachsen, Germany"
GM14,Sachsen-Anhalt,"Sachsen-Anhalt, Germany"
GM15,Thuringen,"Thuringen, Germany"
GM16,Berlin,"Berlin, Germany"
GO00,GLORIOSO ISLANDS,Glorioso Islands
GP00,GUADELOUPE,Guadeloupe
GQ00,GUAM,Guam
GR00,GREECE,Greece
GR01,Evros,"Evros, Greece"
GR02,Rodhopi,"Rodhopi, Greece"
GR03,Xanthi,"Xanthi, Greece"
GR04,Drama,"Drama, Greece"
GR05,Serrai,"Serrai, Greece"
GR06,Kilkis,"Kilkis, Greece"
GR07,Pella,"Pella, Greece"
GR08,Florina,"Florina, Greece"
GR09,Kastoria,"Kastoria, Greece"
GR10,Grevena,"Grevena, Greece"
GR11,Kozani,"Kozani, Greece"
GR12,Imathia,"Imathia, Greece"
GR13,Thessaloniki,"Thessaloniki, Greece"
GR14,Kavala,"Kavala, Greece"
GR15,Khalkidhiki,"Khalkidhiki, Greece"
GR16,Pieria,"Pieria, Greece"
GR17,Ioannina,"Ioannina, Greece"
GR18,Thesprotia,"Thesprotia, Greece"
GR19,Preveza,"Preveza, Greece"
GR20,Arta,"Arta, Greece"
GR21,Larisa,"Larisa, Greece"
GR22,Trikala,"Trikala, Greece"
GR23,Kardhitsa,"Kardhitsa, Greece"
GR24,Magnisia,"Magnisia, Greece"
GR25,Kerkira,"Kerkira, Greece"
GR26,Levkas,"Levkas, Greece"
GR27,Kefallinia,"Kefallinia, Greece"
GR28,Zakinthos,"Zakinthos, Greece"
GR29,Fthiotis,"Fthiotis, Greece"
GR30,Evritania,"Evritania, Greece"
GR31,Aitolia kai Akarnania,"Aitolia Kai Akarnania, Greece"
